id,host_id,booking_id,name,city,state,zipcode,latitude,longitude,accommodates,beds,instant_bookable,require_guest_profile_picture,require_guest_phone_verification,number_of_reviews,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month,neighborhood_group_Ballard,neighborhood_group_Capitol Hill,neighborhood_group_Central Area,neighborhood_group_Downtown,neighborhood_group_Other,neighborhood_group_Other neighborhoods,neighborhood_group_Queen Anne,neighborhood_group_West Seattle,Other_neighborhood,property_type_Apartment,property_type_House,property_type_Other,# Bathrooms_Other,# Bathrooms_one,# Bathrooms_one and one half,# Bathrooms_two,# Bathrooms_two and one half,Bed Type_Other,Bed Type_Real Bed,# Bedrooms_Other,# Bedrooms_one,# Bedrooms_three,# Bedrooms_two,# Bedrooms_zero,room_type_Entire home/apt,room_type_Private room,room_type_Shared room,cancellation policy_moderate,cancellation policy_strict
5310503,13439814,3134,Shared Roosevelt Room,Seattle,WA,98115.0,47.68527202,-122.3175512,1,1.0,f,f,f,18,2015-02-24,2015-11-09,99.0,10.0,10.0,10.0,10.0,10.0,10.0,1.71,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
492287,2433229,1195,Seattle Discovery Birdhouse,Seattle,WA,98199.0,47.65312176,-122.4098169,2,1.0,f,t,t,71,2012-06-03,2015-11-29,93.0,10.0,10.0,10.0,10.0,9.0,10.0,1.62,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1114695,165390,424,"99walkscore, 3br, deck, zoo,central",Seattle,WA,98103.0,47.66121706,-122.3394242,8,3.0,f,f,f,38,2013-06-17,2015-11-13,95.0,10.0,10.0,10.0,10.0,10.0,9.0,1.22,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1080097,5941255,1704,Seattle's unique downtown loft,Seattle,WA,98134.0,47.59386242,-122.3344953,5,3.0,t,f,f,100,2013-04-21,2015-10-07,93.0,9.0,10.0,10.0,10.0,9.0,9.0,3.03,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1815304,9508208,1584,Best Location in Downtown Seattle!,Seattle,WA,98101.0,47.61281849,-122.3276147,2,1.0,t,t,t,139,2013-11-08,2015-12-31,91.0,9.0,8.0,10.0,10.0,10.0,9.0,5.29,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
8306501,8481644,3733,Charming Room in Hip Fremont,Seattle,WA,98107.0,47.65865266,-122.3608151,2,1.0,f,f,f,7,2015-09-21,2015-11-29,91.0,9.0,9.0,10.0,10.0,10.0,10.0,1.98,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
654734,3294357,1517,Gorgeous Downtown/Convention Condo,Seattle,WA,98101.0,47.61312538,-122.3307178,4,2.0,f,f,f,37,2012-10-15,2015-10-21,92.0,9.0,9.0,10.0,10.0,10.0,9.0,0.94,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
769213,4057441,869,Private Garden Apt w/ Soaking Tub,Seattle,WA,98122.0,47.60956186,-122.3150989,2,1.0,f,t,t,164,2013-10-20,2016-01-02,98.0,10.0,10.0,10.0,10.0,10.0,10.0,6.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
934216,4962900,1069,Amazing Waterview! PIKE PLACE! HSW,Seattle,WA,98101.0,47.60816273,-122.3389926,6,3.0,f,f,f,20,2013-08-02,2015-10-22,88.0,9.0,9.0,10.0,9.0,10.0,9.0,0.68,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
935671,4962900,1488,Perfect Seattle Vacation Spot! HS2,Seattle,WA,98101.0,47.60576701,-122.3375706,6,3.0,f,f,f,23,2014-01-06,2015-12-17,91.0,9.0,9.0,9.0,9.0,10.0,9.0,0.95,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1511620,1243056,2889,Io House (bunk 1L) - SLU walkable ,Seattle,WA,98102.0,47.62528743,-122.3194248,1,1.0,f,f,f,8,2013-09-15,2015-09-13,93.0,10.0,8.0,10.0,10.0,10.0,9.0,0.29,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1520449,1243056,2887,Io House (bunk 1U) - SLU walkable ,Seattle,WA,98102.0,47.62409413,-122.3196952,1,1.0,f,f,f,7,2013-10-02,2015-10-02,91.0,9.0,9.0,10.0,10.0,10.0,9.0,0.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1520501,1243056,2689,Io House (bunk 2L) - SLU walkable ,Seattle,WA,98102.0,47.62430121,-122.3191542,1,1.0,f,f,f,4,2014-08-30,2015-06-23,70.0,10.0,8.0,9.0,9.0,10.0,7.0,0.24,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1520533,1243056,2932,Io House (bunk 2U) - SLU walkable ,Seattle,WA,98102.0,47.62513491,-122.3205097,1,1.0,f,f,f,10,2013-09-20,2015-10-20,90.0,8.0,7.0,9.0,9.0,10.0,8.0,0.36,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1520549,1243056,2943,Io House (2P #1) - SLU walkable ,Seattle,WA,98102.0,47.62506293,-122.3190532,1,1.0,f,f,f,4,2013-12-23,2015-10-01,80.0,10.0,8.0,10.0,10.0,10.0,9.0,0.16,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1520581,1243056,2854,Io House (2P #2) - SLU walkable,Seattle,WA,98102.0,47.62383897,-122.3217601,1,1.0,f,f,f,9,2013-12-20,2015-06-23,91.0,9.0,7.0,10.0,10.0,10.0,9.0,0.36,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2986056,1243056,405,Lake Union Hacker House - 2FL 4p 1L,Seattle,WA,98103.0,47.65099402,-122.332345,1,1.0,f,f,f,4,2014-11-01,2015-11-01,95.0,10.0,9.0,10.0,10.0,8.0,10.0,0.28,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
3403638,1243056,373,Lake Union Hacker House - 1FL 4p 2U,Seattle,WA,98103.0,47.65094245,-122.3325889,1,1.0,f,f,f,6,2014-08-03,2015-09-30,84.0,7.0,8.0,9.0,9.0,9.0,8.0,0.35,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
3404557,1243056,333,Lake Union Hacker House - 1FL 4p 2L,Seattle,WA,98103.0,47.6497082,-122.3310153,1,1.0,f,f,f,6,2014-07-09,2015-08-29,93.0,9.0,9.0,10.0,10.0,10.0,9.0,0.33,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
3424114,1243056,358,Lake Union Hacker House - 3FL 4p 1U,Seattle,WA,98103.0,47.65020661,-122.3311043,1,1.0,f,f,f,4,2014-07-24,2014-08-29,93.0,10.0,9.0,9.0,10.0,9.0,10.0,0.23,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
3424242,1243056,335,Lake Union Hacker House - 3FL 4p 2U,Seattle,WA,98103.0,47.65097251,-122.3308842,1,1.0,f,f,f,7,2014-07-22,2015-08-31,94.0,9.0,7.0,9.0,10.0,10.0,10.0,0.39,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
3666970,7354306,3611,Crayola Home - Purple Room Bunk 3,Seattle,WA,98112.0,47.63022264,-122.3032497,1,1.0,f,f,f,16,2014-08-10,2015-12-03,90.0,9.0,9.0,9.0,9.0,9.0,9.0,0.94,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
3732076,1243056,396,Lake Union Hacker House - 1FL 4p 1L,Seattle,WA,98103.0,47.64989806,-122.3312562,1,1.0,f,f,f,7,2014-08-09,2015-05-04,94.0,9.0,8.0,10.0,9.0,9.0,10.0,0.41,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
3732094,1243056,390,Lake Union Hacker House - 3FL 4p 1L,Seattle,WA,98103.0,47.65084966,-122.3329107,1,1.0,f,f,f,5,2014-08-15,2015-09-29,88.0,8.0,7.0,9.0,9.0,9.0,9.0,0.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
3732103,1243056,351,Lake Union Hacker House - 2FL 4p 1U,Seattle,WA,98103.0,47.65021119,-122.3320348,1,1.0,f,f,f,6,2014-08-10,2015-09-02,93.0,9.0,8.0,9.0,10.0,9.0,10.0,0.35,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
3811828,7354306,3529,Crayola Home Green Room-Bunk Bed 3,Seattle,WA,98112.0,47.63146986,-122.3018807,1,1.0,f,f,f,19,2014-08-10,2015-11-02,94.0,9.0,9.0,10.0,10.0,10.0,10.0,1.11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
3811872,7354306,3630,Crayola Home Green Room-Bunk Bed 4,Seattle,WA,98112.0,47.63033031,-122.3017078,1,1.0,f,f,f,20,2014-08-25,2015-12-12,85.0,8.0,8.0,9.0,9.0,9.0,8.0,1.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
3811930,7354306,3531,Crayola Home Green Room -Bunk Bed 1,Seattle,WA,98112.0,47.63140078,-122.3030855,1,1.0,f,f,f,21,2014-08-10,2015-09-22,92.0,9.0,9.0,9.0,10.0,10.0,10.0,1.23,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
3811955,7354306,3561,Crayola Home Green Room-Bunk Bed 2,Seattle,WA,98112.0,47.63155653,-122.3019578,1,1.0,f,f,f,18,2014-09-07,2015-09-01,91.0,9.0,9.0,9.0,10.0,9.0,9.0,1.11,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
3888924,1243056,422,Lake Union Hacker House - 1FL 2p U,Seattle,WA,98103.0,47.65127573,-122.3327965,1,1.0,f,f,f,3,2015-04-30,2015-12-05,87.0,8.0,7.0,9.0,10.0,9.0,8.0,0.36,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
3888986,1243056,436,Lake Union Hacker House - 2FL 2p L,Seattle,WA,98103.0,47.65105573,-122.3309857,1,1.0,f,f,f,1,2015-08-08,2015-08-08,100.0,10.0,8.0,10.0,8.0,10.0,10.0,0.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
3889050,1243056,381,Lake Union Hacker House - 1FL 2p L,Seattle,WA,98103.0,47.65158166,-122.3307967,1,1.0,f,f,f,3,2014-09-01,2015-09-11,80.0,7.0,6.0,9.0,10.0,9.0,8.0,0.18,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
3889299,1243056,340,Lake Union Hacker House - 3FL 2p U,Seattle,WA,98103.0,47.64985412,-122.3306848,1,1.0,f,f,f,2,2015-08-31,2015-09-05,90.0,8.0,8.0,10.0,10.0,10.0,10.0,0.47,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
