id,host_id,booking_id,name,neighbourhood_group,city,state,zipcode,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,number_of_reviews,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
1520449,1243056,2887,Io House (bunk 1U) - SLU walkable ,Capitol Hill,Seattle,WA,98102,47.62409413,-122.3196952,House,Shared room,1,0.5,1,1,Real Bed,f,strict,f,f,7,2013-10-02,2015-10-02,91,9,9,10,10,10,9,0.25
1520501,1243056,2689,Io House (bunk 2L) - SLU walkable ,Capitol Hill,Seattle,WA,98102,47.62430121,-122.3191542,House,Shared room,1,0.5,1,1,Real Bed,f,strict,f,f,4,2014-08-30,2015-06-23,70,10,8,9,9,10,7,0.24
1520533,1243056,2932,Io House (bunk 2U) - SLU walkable ,Capitol Hill,Seattle,WA,98102,47.62513491,-122.3205097,House,Shared room,1,0.5,1,1,Real Bed,f,strict,f,f,10,2013-09-20,2015-10-20,90,8,7,9,9,10,8,0.36
1520549,1243056,2943,Io House (2P #1) - SLU walkable ,Capitol Hill,Seattle,WA,98102,47.62506293,-122.3190532,House,Shared room,1,0.5,1,1,Real Bed,f,strict,f,f,4,2013-12-23,2015-10-01,80,10,8,10,10,10,9,0.16
1520581,1243056,2854,Io House (2P #2) - SLU walkable,Capitol Hill,Seattle,WA,98102,47.62383897,-122.3217601,House,Shared room,1,0.5,1,1,Real Bed,f,strict,f,f,9,2013-12-20,2015-06-23,91,9,7,10,10,10,9,0.36
2986056,1243056,405,Lake Union Hacker House - 2FL 4p 1L,Other neighborhoods,Seattle,WA,98103,47.65099402,-122.332345,House,Shared room,1,1,1,1,Real Bed,f,strict,f,f,4,2014-11-01,2015-11-01,95,10,9,10,10,8,10,0.28
3403638,1243056,373,Lake Union Hacker House - 1FL 4p 2U,Other neighborhoods,Seattle,WA,98103,47.65094245,-122.3325889,House,Shared room,1,1,1,1,Real Bed,f,strict,f,f,6,2014-08-03,2015-09-30,84,7,8,9,9,9,8,0.35
3404557,1243056,333,Lake Union Hacker House - 1FL 4p 2L,Other neighborhoods,Seattle,WA,98103,47.6497082,-122.3310153,House,Shared room,1,1,1,1,Real Bed,f,strict,f,f,6,2014-07-09,2015-08-29,93,9,9,10,10,10,9,0.33
3424114,1243056,358,Lake Union Hacker House - 3FL 4p 1U,Other neighborhoods,Seattle,WA,98103,47.65020661,-122.3311043,House,Shared room,1,1,1,1,Real Bed,f,strict,f,f,4,2014-07-24,2014-08-29,93,10,9,9,10,9,10,0.23
3424242,1243056,335,Lake Union Hacker House - 3FL 4p 2U,Other neighborhoods,Seattle,WA,98103,47.65097251,-122.3308842,House,Shared room,1,1,1,1,Real Bed,f,strict,f,f,7,2014-07-22,2015-08-31,94,9,7,9,10,10,10,0.39
3666970,7354306,3611,Crayola Home - Purple Room Bunk 3,Capitol Hill,Seattle,WA,98112,47.63022264,-122.3032497,House,Shared room,1,3.5,1,1,Real Bed,f,strict,f,f,16,2014-08-10,2015-12-03,90,9,9,9,9,9,9,0.94
