id,price,weekly_price,monthly_price,guests_included,extra_people,security_deposit,cleaning_fee,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365
3274,$89.00 ,$595.00 ,,2,$15.00 ,,$35.00 ,2,365,t,30,60,83,358
3275,$90.00 ,$500.00 ,"$1,500.00 ",1,$0.00 ,$300.00 ,$60.00 ,3,1125,t,2,32,62,265
3276,$50.00 ,,,1,$0.00 ,,,1,1125,t,26,29,58,58
3277,$170.00 ,"$1,020.00 ","$3,264.00 ",4,$20.00 ,$300.00 ,$65.00 ,1,1125,t,0,0,0,267
3278,$45.00 ,,,0,$0.00 ,,,1,1125,t,30,60,90,365
3279,$39.00 ,$270.00 ,$950.00 ,1,$6.00 ,,$10.00 ,1,1125,t,30,60,90,365
3280,$78.00 ,$464.00 ,"$2,600.00 ",1,$0.00 ,$300.00 ,$95.00 ,2,1125,t,20,50,71,340
3281,$99.00 ,,,1,$0.00 ,,,1,1125,t,30,60,90,365
3282,$60.00 ,,"$2,500.00 ",2,$20.00 ,$500.00 ,$40.00 ,1,365,t,19,38,68,343
3283,$65.00 ,,,2,$25.00 ,,,1,1125,t,30,60,90,365
3284,$90.00 ,,,1,$0.00 ,$300.00 ,$60.00 ,1,1125,t,0,5,5,20
3285,$64.00 ,$435.00 ,$985.00 ,2,$25.00 ,$95.00 ,$30.00 ,1,90,t,30,60,89,89
3286,$190.00 ,"$1,239.00 ","$4,250.00 ",4,$12.00 ,$800.00 ,$250.00 ,4,183,t,29,59,89,178
3287,$39.00 ,$275.00 ,"$1,000.00 ",1,$0.00 ,,,2,1125,t,19,19,20,20
3288,$77.00 ,$510.00 ,"$2,250.00 ",1,$6.00 ,,,1,1125,t,0,0,11,286
3289,$80.00 ,,,1,$0.00 ,,,1,1125,t,30,60,90,365
3290,$75.00 ,,,1,$0.00 ,,,1,1125,t,30,60,90,365
3291,$75.00 ,,,1,$0.00 ,,,1,1125,t,30,60,90,365
3292,$55.00 ,$360.00 ,"$1,440.00 ",2,$10.00 ,,,2,180,t,28,55,85,360
3293,$70.00 ,$700.00 ,"$3,000.00 ",1,$0.00 ,,,2,14,t,28,56,84,356
3294,$85.00 ,$500.00 ,,1,$0.00 ,,,1,1125,t,30,60,90,365
3295,$85.00 ,,,1,$0.00 ,,,2,1125,t,24,51,81,352
3296,$350.00 ,"$1,475.00 ","$5,000.00 ",5,$25.00 ,$500.00 ,$45.00 ,2,1125,t,1,1,6,263
3297,$92.00 ,$594.00 ,"$2,495.00 ",1,$6.00 ,,,1,1125,t,0,0,11,286
3298,$200.00 ,,"$5,000.00 ",0,$0.00 ,$500.00 ,$150.00 ,3,365,t,20,20,32,284
3299,$50.00 ,$400.00 ,,1,$35.00 ,,,1,4,t,27,57,87,362
