id,price,weekly_price,monthly_price,guests_included,extra_people,security_deposit,cleaning_fee,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365
1,$85.00 ,,,2,$5.00 ,,,1,365,t,14,41,71,346
2,$150.00 ,"$1,000.00 ","$3,000.00 ",1,$0.00 ,$100.00 ,$40.00 ,2,90,t,13,13,16,291
3,$975.00 ,,,10,$25.00 ,"$1,000.00 ",$300.00 ,4,30,t,1,6,17,220
4,$100.00 ,$650.00 ,"$2,300.00 ",1,$0.00 ,,,1,1125,t,0,0,0,143
5,$450.00 ,,,6,$15.00 ,$700.00 ,$125.00 ,1,1125,t,30,60,90,365
6,$120.00 ,$800.00 ,,1,$30.00 ,,$40.00 ,1,6,t,0,0,27,302
7,$80.00 ,$575.00 ,,1,$10.00 ,$150.00 ,,3,14,t,20,49,71,346
8,$60.00 ,$360.00 ,,1,$0.00 ,$150.00 ,$25.00 ,2,7,t,22,42,42,100
9,$90.00 ,$500.00 ,"$1,700.00 ",1,$0.00 ,,,3,1125,t,6,36,66,341
10,$150.00 ,"$1,000.00 ","$3,000.00 ",1,$0.00 ,$100.00 ,$40.00 ,2,365,t,6,19,49,324
11,$95.00 ,$595.00 ,,2,$15.00 ,,$15.00 ,3,7,t,0,0,0,153
12,$99.00 ,$800.00 ,"$2,000.00 ",1,$0.00 ,$500.00 ,$150.00 ,3,1125,t,21,21,21,229
13,$245.00 ,"$1,575.00 ","$5,800.00 ",1,$0.00 ,$300.00 ,$95.00 ,3,14,t,30,60,90,362
14,$165.00 ,,"$5,000.00 ",4,$20.00 ,$400.00 ,$85.00 ,2,1125,t,13,40,63,337
15,$461.00 ,,,8,$50.00 ,"$1,500.00 ",$300.00 ,3,29,t,19,40,65,327
16,$109.00 ,,,1,$0.00 ,,$89.00 ,3,15,t,30,60,69,69
17,$66.00 ,,,1,$25.00 ,$100.00 ,$35.00 ,1,10,t,29,59,89,364
18,$99.00 ,,,1,$0.00 ,$100.00 ,$15.00 ,2,14,t,29,52,82,171
19,$200.00 ,,,1,$0.00 ,,,1,1125,t,0,0,0,125
20,$700.00 ,"$4,100.00 ",,1,$0.00 ,$500.00 ,$250.00 ,3,30,t,24,54,84,359
21,$110.00 ,$750.00 ,"$2,500.00 ",1,$0.00 ,,,1,1125,t,29,55,85,360
22,$99.00 ,$568.00 ,"$2,029.00 ",1,$10.00 ,,$15.00 ,1,1125,t,30,60,90,365
23,$450.00 ,"$3,000.00 ",,1,$0.00 ,,,4,1125,t,0,0,0,53
24,$75.00 ,$350.00 ,,1,$0.00 ,,,1,1125,t,30,60,90,365
25,$600.00 ,,,1,$0.00 ,$500.00 ,$150.00 ,3,1125,t,0,0,0,212
26,$450.00 ,,,6,$50.00 ,$500.00 ,$200.00 ,4,1125,t,0,3,33,293
27,$150.00 ,,,1,$0.00 ,$250.00 ,$35.00 ,1,1125,t,0,0,0,49
28,$45.00 ,$360.00 ,,1,$0.00 ,$150.00 ,$25.00 ,2,7,t,22,49,49,107
29,$300.00 ,,,1,$0.00 ,$500.00 ,$125.00 ,2,1125,t,24,54,84,356
30,$80.00 ,$500.00 ,,3,$50.00 ,,$65.00 ,2,1125,t,0,1,30,305
31,$175.00 ,"$1,000.00 ","$3,200.00 ",1,$0.00 ,,$40.00 ,2,365,t,19,46,62,323
32,$325.00 ,,,6,$60.00 ,$500.00 ,$100.00 ,2,1125,t,23,50,77,162
33,$175.00 ,$699.00 ,"$2,388.00 ",1,$0.00 ,$200.00 ,$80.00 ,4,120,t,0,0,9,213
34,$222.00 ,"$1,325.00 ","$4,650.00 ",7,$75.00 ,$500.00 ,$250.00 ,2,1125,t,0,0,0,2
35,$159.00 ,,,1,$0.00 ,$250.00 ,$99.00 ,1,1125,t,11,38,68,309
36,$125.00 ,$800.00 ,"$2,700.00 ",2,$25.00 ,,$50.00 ,2,365,t,30,60,90,353
37,$348.00 ,"$2,500.00 ",,6,$20.00 ,$750.00 ,$150.00 ,3,1125,t,0,0,0,153
38,$45.00 ,$450.00 ,"$1,500.00 ",1,$0.00 ,,,1,1125,t,28,58,88,363
39,$150.00 ,$950.00 ,"$2,950.00 ",2,$25.00 ,,$50.00 ,2,365,t,16,46,76,351
40,$80.00 ,,,1,$0.00 ,,$20.00 ,3,1125,t,12,38,40,201
41,$110.00 ,,,2,$15.00 ,$100.00 ,$40.00 ,2,1125,t,19,46,76,351
42,$148.00 ,,,2,$20.00 ,,$100.00 ,3,365,t,0,13,43,310
43,$350.00 ,"$2,100.00 ",,4,$0.00 ,$500.00 ,$100.00 ,2,30,t,0,3,33,308
44,$150.00 ,,,1,$0.00 ,,$50.00 ,2,1125,t,8,34,64,339
45,$150.00 ,$540.00 ,"$1,911.00 ",1,$0.00 ,,,1,1125,t,0,0,11,285
46,$100.00 ,,,1,$0.00 ,,,1,1125,t,28,58,87,87
47,$349.00 ,,,1,$0.00 ,,$200.00 ,1,1125,t,30,60,90,354
48,$110.00 ,$700.00 ,,1,$0.00 ,,$50.00 ,2,1125,t,30,60,89,89
49,$160.00 ,"$1,140.00 ",,2,$25.00 ,$100.00 ,$55.00 ,2,1125,t,0,0,20,295
50,$130.00 ,"$1,000.00 ","$2,700.00 ",2,$25.00 ,$140.00 ,$75.00 ,3,1125,t,30,60,89,89
51,$99.00 ,,,2,$50.00 ,,$50.00 ,1,1125,t,25,51,81,142
52,$100.00 ,,"$2,000.00 ",1,$0.00 ,,$40.00 ,1,1125,t,0,15,29,29
53,$137.00 ,$815.00 ,,2,$20.00 ,,$20.00 ,2,1125,t,0,0,28,303
54,$20.00 ,,,1,$0.00 ,,,1,1125,t,18,46,76,351
55,$150.00 ,,,2,$30.00 ,$500.00 ,$50.00 ,4,1125,t,0,0,0,212
56,$145.00 ,,,2,$10.00 ,$100.00 ,$30.00 ,2,1125,t,15,39,69,331
57,$80.00 ,,,1,$0.00 ,,,1,1125,t,30,60,90,364
58,$95.00 ,,,1,$0.00 ,$200.00 ,$60.00 ,3,1125,t,18,32,50,321
59,$400.00 ,"$2,100.00 ","$7,500.00 ",4,$20.00 ,$750.00 ,$120.00 ,2,1125,t,30,60,90,365
60,$85.00 ,$450.00 ,,1,$0.00 ,,,2,1125,t,0,0,0,247
61,$70.00 ,,,1,$0.00 ,,$20.00 ,1,1125,t,0,0,0,103
62,$90.00 ,$540.00 ,,1,$0.00 ,$150.00 ,$25.00 ,2,14,t,18,45,45,103
63,$80.00 ,,,2,$15.00 ,,,1,6,t,29,59,89,345
64,$60.00 ,$360.00 ,,2,$0.00 ,$150.00 ,$25.00 ,2,7,t,19,44,44,102
65,$175.00 ,,,4,$50.00 ,$250.00 ,$78.00 ,1,15,t,30,48,48,48
66,$170.00 ,"$1,195.00 ","$3,195.00 ",6,$100.00 ,$250.00 ,$100.00 ,4,1125,t,23,25,25,27
67,$85.00 ,$650.00 ,,2,$20.00 ,,$50.00 ,3,1125,t,20,45,75,347
68,$465.00 ,"$3,035.00 ","$12,140.00 ",1,$0.00 ,"$1,000.00 ",$250.00 ,3,1125,t,3,26,46,175
69,$175.00 ,,,1,$0.00 ,$250.00 ,$50.00 ,1,1125,t,0,0,0,94
70,$50.00 ,,,0,$0.00 ,,,1,1125,t,20,50,80,355
71,$60.00 ,,,1,$0.00 ,,,1,1125,t,0,0,0,166
72,$59.00 ,$351.00 ,,1,$0.00 ,,$12.00 ,1,1125,t,25,55,85,360
73,$47.00 ,,,2,$10.00 ,$200.00 ,$15.00 ,1,1125,t,30,60,89,89
74,$145.00 ,,,4,$30.00 ,$100.00 ,$45.00 ,2,14,t,29,59,88,88
75,$70.00 ,,,1,$0.00 ,,,1,1125,t,10,38,68,343
76,$55.00 ,,,1,$10.00 ,$100.00 ,$25.00 ,2,1125,t,15,43,73,348
77,$95.00 ,,"$2,000.00 ",2,$35.00 ,,$30.00 ,2,90,t,7,22,52,327
78,$125.00 ,,,1,$0.00 ,,,1,1125,t,26,49,79,345
79,$65.00 ,,,1,$0.00 ,,$45.00 ,1,26,t,21,49,79,354
80,$25.00 ,,,1,$0.00 ,,,1,1125,t,0,0,0,55
81,$40.00 ,$250.00 ,$800.00 ,2,$10.00 ,$500.00 ,$50.00 ,5,1125,t,0,0,0,48
82,$149.00 ,"$1,300.00 ","$3,950.00 ",4,$20.00 ,,,1,1125,t,27,49,79,354
83,$125.00 ,$900.00 ,"$3,750.00 ",0,$0.00 ,$250.00 ,$75.00 ,3,1125,t,27,49,79,354
84,$55.00 ,,,1,$0.00 ,,,1,1125,t,0,0,0,247
85,$129.00 ,$903.00 ,,1,$0.00 ,$250.00 ,$75.00 ,5,999,t,16,46,76,215
86,$100.00 ,$650.00 ,"$2,000.00 ",1,$0.00 ,,,1,1125,t,0,0,0,199
87,$150.00 ,$950.00 ,,1,$0.00 ,,,2,1125,t,0,3,33,258
88,$50.00 ,,,1,$20.00 ,$500.00 ,$10.00 ,1,1125,t,28,58,88,363
89,$99.00 ,$599.00 ,,4,$0.00 ,$200.00 ,,5,15,t,0,0,0,2
90,$150.00 ,,,2,$50.00 ,,$60.00 ,2,1125,t,4,30,60,335
91,$105.00 ,,,1,$0.00 ,,,2,1125,t,17,17,17,17
92,$218.00 ,"$1,221.00 ","$4,200.00 ",4,$15.00 ,$750.00 ,$300.00 ,14,60,t,30,60,90,365
93,$80.00 ,,,1,$0.00 ,$200.00 ,$75.00 ,1,7,t,13,13,13,80
94,$126.00 ,$945.00 ,"$3,970.00 ",2,$25.00 ,$300.00 ,$95.00 ,2,1125,t,28,28,28,275
95,$115.00 ,$750.00 ,,2,$50.00 ,$500.00 ,$50.00 ,1,1125,t,30,49,56,56
96,$225.00 ,,,1,$0.00 ,,$75.00 ,2,10,t,30,60,90,365
97,$89.00 ,$549.00 ,,2,$0.00 ,,$10.00 ,2,14,t,10,40,70,341
98,$225.00 ,,,1,$0.00 ,,$264.00 ,3,1125,t,21,48,78,331
99,$50.00 ,$250.00 ,$850.00 ,1,$0.00 ,,,1,1125,t,1,31,60,60
100,$134.00 ,$910.00 ,"$3,402.00 ",1,$0.00 ,$200.00 ,$100.00 ,3,45,t,5,28,52,295
101,$75.00 ,$500.00 ,,1,$0.00 ,,$100.00 ,3,1125,t,0,0,0,94
102,$65.00 ,$555.00 ,"$1,850.00 ",2,$15.00 ,,,1,1125,t,29,59,89,364
103,$375.00 ,"$1,800.00 ",,1,$0.00 ,$300.00 ,$100.00 ,1,1125,t,28,58,88,363
104,$97.00 ,$590.00 ,"$1,795.00 ",2,$10.00 ,$100.00 ,$45.00 ,2,1125,t,21,47,77,340
105,$145.00 ,$900.00 ,"$2,250.00 ",2,$25.00 ,$150.00 ,$45.00 ,2,35,t,29,59,88,88
106,$129.00 ,$903.00 ,,1,$0.00 ,$250.00 ,$75.00 ,5,1125,t,12,35,52,313
107,$197.00 ,"$1,172.00 ",,1,$0.00 ,,$180.00 ,4,29,t,30,60,90,364
108,$120.00 ,,,2,$20.00 ,$350.00 ,$60.00 ,2,28,t,0,0,0,234
109,$200.00 ,"$1,500.00 ","$5,500.00 ",4,$100.00 ,$150.00 ,,2,90,t,29,59,88,88
110,$135.00 ,,,4,$15.00 ,$100.00 ,$50.00 ,1,1125,t,19,19,19,266
111,$70.00 ,$450.00 ,"$1,800.00 ",2,$0.00 ,$250.00 ,,1,1125,t,30,60,90,365
112,$150.00 ,,,1,$0.00 ,$250.00 ,$30.00 ,2,1125,t,22,52,82,357
113,$200.00 ,,,1,$0.00 ,,$50.00 ,2,1125,t,30,60,89,89
114,$60.00 ,,,1,$0.00 ,,$55.00 ,1,26,t,15,43,45,47
115,$180.00 ,,,1,$0.00 ,,$150.00 ,5,1125,t,30,60,90,365
116,$69.00 ,$350.00 ,"$1,250.00 ",2,$15.00 ,,,1,1125,t,1,4,34,114
117,$90.00 ,,,2,$15.00 ,,$25.00 ,1,1125,t,27,57,87,112
118,$80.00 ,$665.00 ,,2,$0.00 ,,,1,1125,t,0,0,0,149
119,$65.00 ,,,1,$0.00 ,,$25.00 ,1,1125,t,30,57,87,176
120,$150.00 ,,,2,$10.00 ,$100.00 ,$90.00 ,4,1125,t,0,10,11,16
121,$195.00 ,"$1,200.00 ","$4,950.00 ",4,$20.00 ,,,1,1125,t,30,57,87,362
122,$149.00 ,,,1,$0.00 ,,,1,7,t,22,28,28,183
123,$224.00 ,,,1,$0.00 ,$600.00 ,$120.00 ,3,1125,t,30,60,90,365
124,$115.00 ,,,2,$10.00 ,$200.00 ,$40.00 ,3,1125,t,10,25,54,54
125,$55.00 ,,,1,$0.00 ,,,1,1125,t,0,2,2,249
126,$338.00 ,"$2,100.00 ","$7,000.00 ",6,$0.00 ,$500.00 ,$200.00 ,3,1125,t,16,46,72,154
127,$79.00 ,$499.00 ,,1,$0.00 ,,$10.00 ,2,14,t,15,41,59,334
128,$80.00 ,$500.00 ,"$2,000.00 ",1,$0.00 ,$100.00 ,$15.00 ,1,31,t,20,47,77,166
129,$85.00 ,$525.00 ,,1,$0.00 ,$200.00 ,$35.00 ,2,1125,t,30,60,89,89
130,$80.00 ,$530.00 ,"$1,600.00 ",2,$20.00 ,,$25.00 ,2,100,t,24,45,61,150
131,$49.00 ,,,1,$0.00 ,,$7.00 ,1,1125,t,17,42,69,344
132,$100.00 ,$650.00 ,,1,$0.00 ,$300.00 ,$85.00 ,1,1125,t,0,0,0,240
133,$79.00 ,,,1,$0.00 ,,,1,1125,t,0,0,0,2
134,$75.00 ,$540.00 ,"$1,900.00 ",2,$20.00 ,$250.00 ,$50.00 ,2,14,t,22,51,81,356
135,$57.00 ,$550.00 ,"$2,000.00 ",0,$0.00 ,$100.00 ,$15.00 ,2,28,t,26,53,83,358
136,$99.00 ,,,2,$10.00 ,,$45.00 ,2,1125,t,9,38,68,340
137,$55.00 ,$274.00 ,,1,$0.00 ,,,2,10,t,30,60,90,365
138,$96.00 ,$559.00 ,"$1,974.00 ",2,$20.00 ,,,2,14,t,30,60,90,179
139,$99.00 ,,,2,$10.00 ,$100.00 ,$30.00 ,1,1125,t,21,51,81,352
140,$79.00 ,,,1,$0.00 ,,$35.00 ,1,1125,t,23,43,73,162
141,$115.00 ,$650.00 ,"$1,899.00 ",2,$100.00 ,$200.00 ,$85.00 ,3,365,t,0,4,34,174
142,$350.00 ,"$1,500.00 ",,6,$25.00 ,$500.00 ,$125.00 ,1,1125,t,30,60,90,352
143,$295.00 ,,,5,$50.00 ,$300.00 ,$131.00 ,2,7,t,0,0,0,0
144,$70.00 ,$420.00 ,"$1,300.00 ",0,$0.00 ,$100.00 ,$20.00 ,2,1125,t,2,32,62,337
145,$53.00 ,$400.00 ,"$1,500.00 ",1,$0.00 ,,,14,1125,t,0,0,28,168
146,$110.00 ,$550.00 ,,1,$0.00 ,$100.00 ,,2,14,t,0,3,33,306
147,$225.00 ,"$1,100.00 ",,1,$0.00 ,,$45.00 ,1,1125,t,0,10,10,143
148,$35.00 ,,,2,$10.00 ,$100.00 ,$7.00 ,1,1125,t,12,23,51,326
149,$55.00 ,$390.00 ,,1,$10.00 ,,$15.00 ,1,1125,t,0,0,0,247
150,$45.00 ,,,2,$10.00 ,$100.00 ,$8.00 ,1,1125,t,12,23,51,326
151,$79.00 ,,,1,$0.00 ,,,1,7,t,30,60,89,89
152,$133.00 ,,,4,$15.00 ,$350.00 ,$50.00 ,2,1125,t,30,60,90,365
153,$65.00 ,,,1,$0.00 ,,$5.00 ,2,1125,t,30,60,90,365
154,$61.00 ,$244.00 ,,1,$0.00 ,,$15.00 ,1,1125,t,0,0,0,125
155,$200.00 ,"$1,200.00 ",,1,$0.00 ,$200.00 ,$60.00 ,4,7,t,0,0,0,30
156,$70.00 ,$400.00 ,"$1,100.00 ",1,$0.00 ,$250.00 ,$50.00 ,5,1125,t,8,8,8,93
157,$52.00 ,$300.00 ,"$1,100.00 ",1,$0.00 ,,$20.00 ,30,90,t,0,3,33,308
158,$50.00 ,$400.00 ,,1,$15.00 ,,,1,1125,t,0,0,0,126
159,$275.00 ,,,8,$10.00 ,$500.00 ,$50.00 ,1,1125,t,0,0,0,232
160,$149.00 ,"$1,065.00 ","$3,759.00 ",1,$0.00 ,$100.00 ,$50.00 ,2,1125,t,28,58,88,363
161,$199.00 ,"$1,250.00 ","$4,500.00 ",5,$10.00 ,$150.00 ,$85.00 ,1,1125,t,0,0,0,270
162,$89.00 ,,,2,$0.00 ,,,2,14,t,28,45,75,164
163,$225.00 ,,,8,$40.00 ,$300.00 ,$100.00 ,1,90,t,17,42,58,124
164,$120.00 ,$698.00 ,"$2,552.00 ",2,$10.00 ,$200.00 ,$55.00 ,2,120,t,0,22,52,320
165,$85.00 ,,,1,$0.00 ,,$30.00 ,2,1125,t,30,60,90,365
166,$80.00 ,,,4,$10.00 ,$200.00 ,$15.00 ,1,1125,t,12,23,51,326
167,$89.00 ,$536.00 ,"$1,875.00 ",2,$10.00 ,,$55.00 ,2,1125,t,24,49,49,324
168,$99.00 ,,,2,$10.00 ,$100.00 ,$30.00 ,2,1125,t,21,49,75,348
169,$110.00 ,,,2,$25.00 ,$95.00 ,$35.00 ,1,16,t,16,43,72,345
170,$180.00 ,"$1,260.00 ",,4,$30.00 ,$250.00 ,$80.00 ,3,1125,t,9,14,14,60
171,$150.00 ,,,1,$0.00 ,,,2,1125,t,2,32,62,337
172,$70.00 ,,,1,$0.00 ,,,1,1125,t,21,39,56,56
173,$70.00 ,,,1,$0.00 ,,,1,1125,t,30,60,90,365
174,$75.00 ,$490.00 ,,1,$0.00 ,$100.00 ,$25.00 ,4,1125,t,30,60,90,365
175,$85.00 ,$488.00 ,"$1,899.00 ",4,$10.00 ,$100.00 ,,2,45,t,3,25,48,114
176,$80.00 ,$650.00 ,"$2,300.00 ",1,$25.00 ,$250.00 ,$25.00 ,1,1125,t,20,44,72,85
177,$90.00 ,$600.00 ,"$2,000.00 ",1,$0.00 ,,$20.00 ,3,30,t,25,55,85,174
178,$80.00 ,,,1,$0.00 ,,,1,1125,t,10,37,67,342
179,$75.00 ,$525.00 ,,1,$10.00 ,$200.00 ,,1,7,t,27,57,86,361
180,$80.00 ,,,1,$0.00 ,,,1,1125,t,0,0,0,247
181,$70.00 ,$400.00 ,,1,$0.00 ,$100.00 ,,2,14,t,25,55,85,360
182,$350.00 ,"$1,950.00 ","$6,900.00 ",1,$0.00 ,"$1,000.00 ",$200.00 ,3,1125,t,0,0,0,131
183,$95.00 ,$625.00 ,"$2,000.00 ",2,$20.00 ,,$40.00 ,2,30,t,3,21,49,313
184,$90.00 ,,,1,$0.00 ,,,1,1125,t,30,60,90,179
185,$435.00 ,"$2,900.00 ",,9,$20.00 ,$500.00 ,$200.00 ,2,1125,t,0,0,0,205
186,$250.00 ,,,1,$0.00 ,,$185.00 ,2,1125,t,30,60,90,365
187,$65.00 ,$440.00 ,"$1,450.00 ",1,$0.00 ,,$20.00 ,14,90,t,23,53,83,358
188,$95.00 ,,,2,$10.00 ,$100.00 ,,3,60,t,8,14,38,258
189,$110.00 ,,,2,$25.00 ,,$50.00 ,2,10,t,1,4,34,309
190,$50.00 ,,,1,$0.00 ,,$10.00 ,1,1125,t,28,56,86,361
191,$95.00 ,$500.00 ,"$1,750.00 ",2,$0.00 ,$200.00 ,$20.00 ,1,1125,t,24,54,84,358
192,$100.00 ,$575.00 ,"$1,800.00 ",1,$0.00 ,,$30.00 ,4,15,t,1,1,1,206
193,$89.00 ,,,1,$0.00 ,,,1,1125,t,30,60,90,365
194,$116.00 ,$690.00 ,"$3,450.00 ",4,$10.00 ,,$60.00 ,2,1125,t,23,50,58,289
195,$150.00 ,$950.00 ,"$2,200.00 ",2,$10.00 ,$100.00 ,$50.00 ,2,1125,t,3,7,31,300
196,$275.00 ,,,8,$40.00 ,$250.00 ,$100.00 ,1,1125,t,10,20,20,21
197,$180.00 ,,,1,$0.00 ,,,3,21,t,0,0,5,5
198,$97.00 ,$582.00 ,"$1,900.00 ",1,$0.00 ,,,1,1125,t,24,51,81,353
199,$200.00 ,"$1,200.00 ","$3,500.00 ",4,$25.00 ,$200.00 ,$50.00 ,2,1125,t,0,3,33,308
200,$120.00 ,,,1,$0.00 ,,,2,28,t,30,60,90,361
201,$109.00 ,$595.00 ,"$1,950.00 ",2,$50.00 ,,,2,1125,t,30,60,89,89
202,$115.00 ,$805.00 ,,1,$0.00 ,$100.00 ,$20.00 ,2,1125,t,30,60,90,365
203,$199.00 ,"$1,200.00 ","$3,800.00 ",2,$35.00 ,,$80.00 ,2,1125,t,8,8,8,102
204,$150.00 ,,,1,$0.00 ,$95.00 ,,1,1125,t,30,60,90,287
205,$100.00 ,,,1,$0.00 ,,,1,1125,t,30,60,90,365
206,$250.00 ,,,1,$0.00 ,$500.00 ,$100.00 ,2,14,t,8,30,53,303
207,$39.00 ,$232.00 ,$819.00 ,1,$0.00 ,,,1,1125,t,30,60,90,365
208,$69.00 ,,,3,$30.00 ,$150.00 ,$55.00 ,2,13,t,14,32,58,311
209,$145.00 ,$715.00 ,"$2,205.00 ",4,$10.00 ,$350.00 ,$60.00 ,2,1125,t,0,0,23,112
210,$98.00 ,$640.00 ,"$2,000.00 ",2,$25.00 ,$300.00 ,$10.00 ,1,99,t,2,25,51,326
211,$130.00 ,$850.00 ,,1,$0.00 ,$150.00 ,$25.00 ,2,1125,t,0,0,0,2
212,$85.00 ,$525.00 ,"$1,600.00 ",0,$0.00 ,,,1,1125,t,20,50,80,201
213,$85.00 ,$560.00 ,"$2,195.00 ",1,$0.00 ,,$15.00 ,2,180,t,30,60,89,89
214,$73.00 ,$588.00 ,"$2,058.00 ",1,$0.00 ,$350.00 ,$60.00 ,2,1125,t,18,48,77,77
215,$150.00 ,$550.00 ,,4,$50.00 ,$150.00 ,$25.00 ,1,1125,t,0,0,20,20
216,$85.00 ,,,1,$0.00 ,,,3,1125,t,23,53,83,111
217,$190.00 ,"$1,600.00 ",,1,$0.00 ,$500.00 ,$100.00 ,1,1125,t,1,3,3,128
218,$68.00 ,,,1,$0.00 ,$200.00 ,$50.00 ,2,15,t,4,34,52,320
219,$149.00 ,$895.00 ,"$3,150.00 ",2,$0.00 ,$100.00 ,$60.00 ,2,1125,t,14,37,53,157
220,$349.00 ,,,1,$0.00 ,,$100.00 ,1,1125,t,19,42,64,152
221,$105.00 ,,"$2,500.00 ",1,$0.00 ,$750.00 ,$100.00 ,21,1125,t,1,1,1,131
222,$145.00 ,$925.00 ,"$3,625.00 ",2,$10.00 ,$500.00 ,$90.00 ,3,1125,t,22,52,78,324
223,$150.00 ,$900.00 ,,1,$10.00 ,$200.00 ,$40.00 ,2,6,t,17,47,77,352
224,$275.00 ,"$1,750.00 ","$5,500.00 ",3,$75.00 ,"$5,000.00 ",$75.00 ,4,1125,t,0,0,0,139
225,$165.00 ,,,1,$0.00 ,,$75.00 ,2,1125,t,0,4,33,294
226,$196.00 ,,,5,$25.00 ,$300.00 ,$65.00 ,2,1125,t,5,20,44,47
227,$195.00 ,,"$3,600.00 ",1,$0.00 ,$100.00 ,$35.00 ,2,14,t,30,60,90,365
228,$200.00 ,,,2,$10.00 ,$95.00 ,,2,1125,t,30,60,89,89
229,$90.00 ,,,1,$0.00 ,$125.00 ,$30.00 ,2,7,t,29,59,88,88
230,$100.00 ,,,1,$0.00 ,,,1,1125,t,27,57,87,362
231,$125.00 ,$800.00 ,"$2,000.00 ",1,$25.00 ,,$30.00 ,2,1125,t,0,12,42,317
232,$250.00 ,,,1,$0.00 ,,$264.00 ,3,1125,t,19,19,26,301
233,$130.00 ,$750.00 ,"$2,500.00 ",1,$0.00 ,$100.00 ,$50.00 ,2,1125,t,24,54,84,359
234,$209.00 ,"$1,400.00 ",,2,$25.00 ,$200.00 ,$90.00 ,3,1125,t,30,60,90,365
235,$110.00 ,$720.00 ,"$2,500.00 ",2,$20.00 ,$150.00 ,$50.00 ,2,1125,t,1,31,61,336
236,$90.00 ,"$1,015.00 ","$3,950.00 ",0,$0.00 ,$350.00 ,$60.00 ,2,1125,t,25,55,84,84
237,$90.00 ,$500.00 ,,1,$0.00 ,,,2,1125,t,27,57,87,362
238,$130.00 ,$700.00 ,"$2,200.00 ",2,$0.00 ,,,1,1125,t,13,43,73,348
239,$175.00 ,,,1,$0.00 ,,,2,3,t,0,0,0,196
240,$749.00 ,"$6,300.00 ","$19,500.00 ",4,$45.00 ,"$1,000.00 ",$199.00 ,1,365,t,30,57,87,359
241,$115.00 ,,,1,$0.00 ,,$35.00 ,1,5,t,3,3,3,3
242,$165.00 ,,,2,$20.00 ,$200.00 ,$55.00 ,2,30,t,23,53,83,347
243,$109.00 ,,,1,$0.00 ,,,1,1125,t,0,0,0,216
244,$80.00 ,$428.00 ,"$1,512.00 ",1,$0.00 ,,,1,1125,t,0,0,0,43
245,$285.00 ,"$1,650.00 ",,1,$0.00 ,$300.00 ,$150.00 ,2,365,t,30,60,90,332
246,$80.00 ,$425.00 ,"$1,500.00 ",2,$20.00 ,,$10.00 ,1,1125,t,27,57,85,162
247,$75.00 ,$400.00 ,"$1,350.00 ",1,$0.00 ,,,1,1125,t,30,60,90,365
248,$68.00 ,,,2,$10.00 ,$100.00 ,$100.00 ,20,44,t,30,30,32,307
249,$85.00 ,,,2,$15.00 ,$150.00 ,$60.00 ,2,1125,t,1,5,35,309
250,$125.00 ,,,1,$0.00 ,$300.00 ,$55.00 ,2,1125,t,8,28,57,57
251,$110.00 ,$692.00 ,"$2,550.00 ",2,$50.00 ,$800.00 ,$100.00 ,2,1125,t,23,45,55,270
252,$600.00 ,"$3,150.00 ","$11,700.00 ",1,$0.00 ,"$1,500.00 ",$175.00 ,3,1125,t,30,60,90,365
253,$235.00 ,,,2,$15.00 ,,$45.00 ,1,1125,t,29,59,85,360
254,$75.00 ,$541.00 ,"$1,911.00 ",3,$10.00 ,,$20.00 ,1,1125,t,10,22,22,82
255,$95.00 ,,,1,$0.00 ,,$25.00 ,1,1125,t,30,60,90,365
256,$103.00 ,"$1,005.00 ","$3,900.00 ",4,$10.00 ,$350.00 ,$60.00 ,2,1125,t,25,55,85,85
257,$120.00 ,$730.00 ,"$3,000.00 ",2,$25.00 ,$350.00 ,$60.00 ,3,1125,t,3,33,63,93
258,$95.00 ,,,1,$0.00 ,$200.00 ,$50.00 ,1,1125,t,3,3,3,124
259,$143.00 ,,,0,$0.00 ,,$100.00 ,1,1125,t,30,60,90,365
260,$99.00 ,$700.00 ,,2,$0.00 ,,$20.00 ,2,7,t,30,60,90,365
261,$142.00 ,,,1,$0.00 ,,$40.00 ,3,10,t,21,46,67,156
262,$150.00 ,,,2,$25.00 ,,$25.00 ,2,15,t,30,60,90,179
263,$295.00 ,,,1,$0.00 ,"$1,000.00 ",$110.00 ,1,1125,t,3,3,3,5
264,$335.00 ,"$2,500.00 ",,1,$0.00 ,$500.00 ,$125.00 ,2,16,t,19,49,76,233
265,$60.00 ,,,1,$0.00 ,,,1,1125,t,27,57,87,362
266,$250.00 ,"$1,500.00 ",,4,$0.00 ,$500.00 ,$75.00 ,4,14,t,0,0,0,234
267,$499.00 ,,,8,$50.00 ,$499.00 ,$200.00 ,2,1125,t,25,55,85,360
268,$350.00 ,,,7,$50.00 ,$300.00 ,$155.00 ,2,180,t,30,60,90,160
269,$156.00 ,"$1,040.00 ","$4,000.00 ",2,$0.00 ,$300.00 ,$25.00 ,3,1125,t,29,59,89,364
270,$200.00 ,,,4,$50.00 ,$100.00 ,$111.00 ,2,180,t,29,59,89,159
271,$180.00 ,,,3,$0.00 ,$100.00 ,$30.00 ,2,9,t,30,60,90,365
272,$103.00 ,,,1,$0.00 ,,,1,1125,t,0,0,0,93
273,$99.00 ,,,1,$0.00 ,$100.00 ,,1,90,t,18,48,75,102
274,$94.00 ,,,1,$0.00 ,$100.00 ,$40.00 ,2,1125,t,28,58,88,177
